Attributes,Close,High,Low,Open,Volume
Symbols,TREX.US,TREX.US,TREX.US,TREX.US,TREX.US
Date,,,,,
2021-06-16,97.44,99.43,96.66,99.43,823019
2021-06-17,95.07,97.7,94.5,97.0,1315850
2021-06-18,97.58,98.3937,94.05,94.79,1126153
2021-06-21,100.97,101.1,97.89,98.44,621393
2021-06-22,102.29,103.59,100.38,101.14,632256
2021-06-23,100.03,102.68,99.85,102.1,555083
2021-06-24,100.76,101.03,99.49,100.5,366073
2021-06-25,100.19,102.115,99.26,101.45,1159189
2021-06-28,101.81,102.42,100.0,100.54,401867
2021-06-29,103.08,103.95,101.35,102.28,362147
2021-06-30,102.21,103.4,101.17,102.66,666367
2021-07-01,101.25,102.6,100.51,102.6,793478
2021-07-02,101.32,101.73,100.42,101.55,252707
2021-07-06,100.55,101.79,99.82,101.63,574871
2021-07-07,102.7,103.265,99.955,100.69,509354
2021-07-08,100.27,101.88,98.34,100.88,477769
2021-07-09,102.37,102.73,101.26,101.29,335908
2021-07-12,102.54,103.25,101.52,102.24,392018
2021-07-13,100.17,102.47,99.98,101.85,302546
2021-07-14,96.89,100.7225,96.1325,100.13,713630
2021-07-15,96.04,98.7,95.66,96.52,560971
2021-07-16,96.0,97.345,95.4,96.09,809440
2021-07-19,95.7,96.29,93.28,94.42,642701
2021-07-20,97.88,98.48,95.03,95.9,779048
2021-07-21,99.96,100.32,98.12,98.15,503386
2021-07-22,98.82,100.46,98.16,100.14,273156
2021-07-23,99.98,100.64,98.8993,99.78,523623
2021-07-26,97.89,99.805,96.64,99.8,471307
2021-07-27,95.42,97.8,94.985,97.18,685778
2021-07-28,95.1,96.38,94.21,95.35,633001
2021-07-29,96.01,96.94,95.19,95.57,1217717
2021-07-30,97.1,98.04,95.34,95.9,708983
2021-08-02,96.84,98.8,96.79,97.41,790612
2021-08-03,97.35,97.54,91.56,91.59,2097642
2021-08-04,101.99,103.07,96.32,97.44,1317031
2021-08-05,104.24,105.31,102.01,102.19,1020399
2021-08-06,105.27,106.28,104.69,104.77,756242
2021-08-09,104.51,106.725,104.42,105.49,461002
2021-08-10,103.69,105.79,103.26,103.82,495992
2021-08-11,105.94,106.0,103.22,103.63,565594
2021-08-12,107.94,108.1626,106.16,106.39,608369
2021-08-13,107.61,108.78,105.64,108.12,475801
2021-08-16,107.63,109.23,106.64,107.24,517642
2021-08-17,103.33,107.1118,102.5,106.5,578605
2021-08-18,103.5,105.65,102.815,103.46,451109
2021-08-19,104.97,105.31,101.21,102.08,443389
2021-08-20,108.54,108.71,104.74,104.99,414118
2021-08-23,109.29,110.45,108.69,109.5,450603
2021-08-24,110.03,111.56,109.4718,109.55,455827
2021-08-25,110.53,111.39,110.0,110.23,318195
2021-08-26,108.67,110.615,108.38,110.18,414025
2021-08-27,110.87,111.38,108.19,108.19,364662
2021-08-30,111.59,112.85,111.07,111.63,460129
2021-08-31,109.76,111.42,108.3501,111.41,572797
2021-09-01,111.05,111.72,109.09,110.77,521224
2021-09-02,114.23,114.59,111.9,112.04,494746
2021-09-03,113.74,114.36,112.63,113.5,269613
2021-09-07,111.45,114.35,111.28,113.73,397203
2021-09-08,111.77,111.95,109.2,110.9,408945
2021-09-09,111.59,113.54,111.1,112.0,283067
2021-09-10,112.14,113.87,112.01,112.53,466641
2021-09-13,111.81,114.61,111.4,113.66,555700
2021-09-14,107.53,112.255,106.72,111.46,778251
2021-09-15,108.08,108.46,105.62,107.18,529723
2021-09-16,108.3,108.899,106.62,108.26,365599
2021-09-17,107.6,108.35,106.865,108.28,1554946
2021-09-20,106.28,106.5,104.13,105.33,723685
2021-09-21,106.08,107.48,105.0,107.48,371297
2021-09-22,107.68,109.26,107.0,107.0,482476
2021-09-23,107.57,109.12,106.77,108.25,643134
2021-09-24,107.3,108.64,106.255,106.84,330520
2021-09-27,108.86,109.3,106.53,106.63,440237
2021-09-28,104.04,108.82,103.97,107.7,494090
2021-09-29,104.84,106.27,104.36,105.14,485544
2021-09-30,101.93,106.49,101.89,105.32,455968
2021-10-01,101.29,102.39,100.17,101.78,725710
2021-10-04,102.45,102.67,98.85,100.99,807731
2021-10-05,103.89,104.73,101.94,102.98,659629
2021-10-06,104.49,104.51,101.8,102.85,686316
2021-10-07,105.15,106.4,104.85,105.56,511966
2021-10-08,104.33,105.5,104.2,105.21,268255
2021-10-11,103.04,104.97,102.78,103.7,383605
2021-10-12,91.92,100.895,91.34,99.61,2700369
2021-10-13,91.29,93.56,90.59,92.29,1013953
2021-10-14,92.93,93.1467,91.91,92.17,798335
2021-10-15,93.38,95.42,93.305,94.15,724026
2021-10-18,95.36,95.45,92.81,92.89,557890
2021-10-19,97.15,97.74,95.5001,96.17,711416
2021-10-20,96.77,98.19,96.7,97.2,496897
2021-10-21,95.75,97.5,95.19,96.28,565052
2021-10-22,94.72,96.77,94.635,95.92,517596
2021-10-25,97.73,98.63,93.8,94.41,527851
2021-10-26,98.01,98.33,96.63,97.93,585088
2021-10-27,102.7,106.005,100.0,100.49,1591205
2021-10-28,105.22,105.42,102.68,102.68,578034
2021-10-29,106.4,107.72,104.48,104.48,882257
2021-11-01,109.6,109.76,106.26,106.89,652213
2021-11-02,110.27,110.85,108.7101,110.27,652732
2021-11-03,109.5,111.1804,109.37,110.73,571893
2021-11-04,113.75,115.9,110.23,110.23,850318
2021-11-05,114.26,115.18,112.7001,113.79,596031
2021-11-08,115.79,117.0,114.23,115.08,804256
2021-11-09,132.8,134.39,119.95,120.0,2536453
2021-11-10,127.26,133.63,126.08,131.0,1132737
2021-11-11,128.67,130.13,127.18,127.89,466740
2021-11-12,129.77,130.37,128.24,129.86,603108
2021-11-15,128.88,130.68,128.2,129.8,725254
2021-11-16,130.82,131.45,128.08,129.33,817451
2021-11-17,133.55,133.57,129.63,131.68,614011
2021-11-18,131.25,135.0,130.71,134.46,446937
2021-11-19,134.27,135.59,131.84,132.01,555991
2021-11-22,132.98,136.0,132.35,134.17,491804
2021-11-23,131.26,133.45,129.73,131.99,571735
2021-11-24,132.13,132.7999,130.065,131.0,329605
